month,entity,division,supplier,supplier_name,supplier_category,supplier_criticality,single_source,payment_terms_days,current,overdue_1_30,overdue_31_60,overdue_61_90,overdue_90_plus,total_ap,overdue_ap,overdue_pct,weighted_age_days,trailing_12m_spend,supplier_spend_share,group_top5_spend_concentration,group_supplier_count_trailing12
2023-09,CN01,Hardware,SUP-CN01-MFG-02,Industrial Supply CN01 02,Manufacturing Supply,5,False,60,4267355.72,0.0,0.0,0.0,0.0,4267355.72,0.0,0.0,0.0,5383200.76,0.1000377778959859,0.7644084672513324,80
2023-09,CN01,Hardware,SUP-CN01-MFG-03,Industrial Supply CN01 03,Manufacturing Supply,5,False,60,2058629.34,0.0,0.0,0.0,0.0,2058629.34,0.0,0.0,0.0,2058629.34,0.038256181381033996,0.7644084672513324,80
2023-09,CN01,Hardware,SUP-CN01-MFG-04,Industrial Supply CN01 04,Manufacturing Supply,5,False,60,2536167.1,0.0,0.0,0.0,0.0,2536167.1,0.0,0.0,0.0,2536167.1,0.04713042154067958,0.7644084672513324,80
2023-09,CN01,Hardware,SUP-CN01-MFG-06,Industrial Supply CN01 06,Manufacturing Supply,5,False,60,8571770.9,0.0,0.0,0.0,0.0,8571770.9,0.0,0.0,0.0,8571770.9,0.17926161265779714,0.7644084672513324,80
2023-09,CN01,Spare Parts,SUP-CN01-MFG-06,Industrial Supply CN01 06,Manufacturing Supply,5,False,60,1074597.4,0.0,0.0,0.0,0.0,1074597.4,0.0,0.0,0.0,1074597.4,0.17926161265779714,0.7644084672513324,80
2023-09,CN01,Spare Parts,SUP-CN01-MFG-08,Industrial Supply CN01 08,Manufacturing Supply,5,False,60,3756095.2,0.0,0.0,0.0,0.0,3756095.2,0.0,0.0,0.0,3756095.2,0.06980074385592462,0.7644084672513324,80
2023-09,CZ01,Hardware,SUP-CZ01-MFG-04,Industrial Supply CZ01 04,Manufacturing Supply,5,False,60,4360937.0600000005,0.0,0.0,0.0,0.0,4360937.0600000005,0.0,0.0,0.0,5873515.24,0.10914945201631461,0.7644084672513324,80
2023-09,CZ01,Hardware,SUP-CZ01-MFG-05,Industrial Supply CZ01 05,Manufacturing Supply,5,False,60,16474923.32,0.0,0.0,0.0,0.0,16474923.32,0.0,0.0,0.0,16474923.32,0.3061588808253101,0.7644084672513324,80
2023-09,CZ01,Spare Parts,SUP-CZ01-MFG-07,Industrial Supply CZ01 07,Manufacturing Supply,5,False,60,2619997.92,0.0,0.0,0.0,0.0,2619997.92,0.0,0.0,0.0,2619997.92,0.04868827704818964,0.7644084672513324,80
2023-09,CZ01,Spare Parts,SUP-CZ01-MFG-08,Industrial Supply CZ01 08,Manufacturing Supply,5,False,60,1322115.52,0.0,0.0,0.0,0.0,1322115.52,0.0,0.0,0.0,1322115.52,0.024569304515887295,0.7644084672513324,80
2023-09,DE01,Hardware,SUP-DE01-LOG-01,Logistics Partner DE01 01,Logistics & Freight,4,False,45,83348.27,0.0,0.0,0.0,0.0,83348.27,0.0,0.0,0.0,83348.27,0.001658708893487357,0.7644084672513324,80
