entity,division,customer,customer_segment,revenue,marginal_contribution,gross_profit,opex,mc_pct,gross_margin_pct,operating_contribution,customer_name
DE01,Hardware,C008,Core,7242104.19,2480376.46,2075825.82,840728.8300642857,0.3424938933390297,0.2866329682009173,1235096.9899357143,Redwood DE01
DE01,Hardware,C009,Strategic,11455318.55,3950613.65,3311707.18,1340710.1880784878,0.34487156622981907,0.2890977815715129,1970996.9919215124,Pioneer DE01
DE01,Hardware,C010,Growth,5403794.99,1936095.66,1640861.36,630308.4533285631,0.35828443965451023,0.30364981703349186,1010552.906671437,Keystone DE01
DE01,Hardware,C011,Strategic,18766769.56,6884180.05,5853402.92,2195564.4788958086,0.3668281868112841,0.31190253076246544,3657838.4411041914,Axiom DE01
DE01,Hardware,C012,Growth,5775117.46,2259379.12,1951054.44,679006.1886128649,0.39122652234332217,0.3378380532540718,1272048.2513871351,Northstar DE01
DE01,Hardware,C013,Core,10707250.67,3918957.39,3338643.44,1249168.9454905468,0.3660096798686418,0.3118114577586517,2089474.4945094532,Kestrel DE01
DE01,Hardware,C014,Core,8230561.95,2819542.65,2365120.79,960657.595529443,0.34256988370034686,0.2873583607495962,1404463.194470557,Helix DE01
DE01,Software,C001,Growth,888520.85,701792.09,662215.29,156850.89195081618,0.7898431308618138,0.7453007883833003,505364.3980491839,Meridian DE01
DE01,Software,C002,Core,1320611.34,1037952.36,978550.59,233146.9319498739,0.7859635371599943,0.7409830283601835,745403.658050126,Orion DE01
DE01,Software,C003,Growth,695486.47,549978.87,518902.78,122790.29291741338,0.7907829896388926,0.7461004669149064,396112.4870825866,Atlas DE01
DE01,Software,C004,Strategic,3674130.46,2883137.51,2716603.44,648626.6866330758,0.7847128841472875,0.7393867663588625,2067976.7533669241,Nimbus DE01
DE01,Software,C005,Core,1198885.26,954202.44,900232.05,211613.5917901121,0.7959080587912141,0.7508909151155967,688618.458209888,Summit DE01
DE01,Software,C006,Core,1436377.38,1141740.3,1077889.78,253572.95150063603,0.7948748816971763,0.7504224133632625,824316.828499364,Cobalt DE01
DE01,Software,C007,Core,1054366.43,835127.63,788654.25,186136.48325807264,0.7920658380597342,0.7479887708488595,602517.7667419274,Vertex DE01
ES01,Events,C022,Strategic,13253327.36,5991977.68,5255511.05,1812697.2754287026,0.4521111957201365,0.396542762979032,3442813.774571297,Vector ES01
ES01,Events,C023,Growth,5331438.14,2489760.98,2199500.1,724491.0125746299,0.46699613024113606,0.41255286889627124,1475009.0874253702,Redwood ES01
ES01,Events,C024,Strategic,10336989.35,4650600.66,4079213.82,1405573.268709914,0.44989895051018897,0.39462300693963664,2673640.5512900855,Pioneer ES01
ES01,Events,C025,Core,6651005.24,2869366.36,2503130.58,907694.3627040088,0.4314184482585071,0.37635372243369336,1595436.2172959913,Keystone ES01
ES01,Events,C026,Core,3320054.9699999997,1340347.19,1154912.81,477603.2705827448,0.40371234877475537,0.3478595446267566,677309.5394172552,Axiom ES01
ES01,Hardware,C015,Strategic,8540906.47,2902882.4,2428693.93,754989.7331796421,0.3398798956757572,0.2843602067919613,1673704.196820358,Nova ES01
ES01,Hardware,C016,Core,4460893.18,1715955.29,1477644.04,395082.78614771867,0.384666303531617,0.3312439864341249,1082561.2538522813,Meridian ES01
ES01,Hardware,C017,Strategic,12643688.68,4214046.4,3509376.79,1116806.7401976334,0.33329248344004625,0.2775595697441674,2392570.0498023666,Orion ES01
ES01,Hardware,C018,Strategic,9748290.28,3493286.5,2958703.99,863082.895940222,0.3583486334180028,0.30351004176293367,2095621.0940597784,Atlas ES01
ES01,Hardware,C019,Core,6468969.69,2278849.28,1924051.48,573347.2667803197,0.3522739151990059,0.2974278087860387,1350704.2132196804,Nimbus ES01
ES01,Hardware,C020,Strategic,15017185.52,5189683.37,4360751.28,1329613.5643002386,0.34558295647931775,0.2903840585968868,3031137.7156997616,Summit ES01
ES01,Hardware,C021,Core,5619293.51,2079566.59,1773781.3,498324.49345422554,0.3700761646102377,0.3156591298965624,1275456.8065457745,Cobalt ES01
ES01,Spare Parts,C027,Core,4571985.08,2112424.0,1951933.73,435279.15987029596,0.4620365034087119,0.4269335301505402,1516654.570129704,Cobalt ES01
ES01,Spare Parts,C028,Growth,4096491.96,1922717.27,1780712.84,389889.6658688851,0.46935702273415425,0.4346921359513666,1390823.174131115,Vertex ES01
ES01,Spare Parts,C029,Core,3569964.89,1694675.5,1570264.47,339990.1617255589,0.4747036881922948,0.43985431744680265,1230274.308274441,Nova ES01
ES01,Spare Parts,C030,Growth,2478848.96,1181071.32,1095883.21,236164.93946048187,0.4764595742049568,0.44209357959429685,859718.2705395181,Meridian ES01
ES01,Spare Parts,C031,Growth,2628859.76,1260698.07,1170146.38,250226.1257895771,0.4795607925468037,0.4451155583894669,919920.2542104227,Orion ES01
ES01,Spare Parts,C032,Core,5974972.6,2778130.19,2569490.05,568771.9784146044,0.46496115982188774,0.4300421478083431,2000718.0715853954,Atlas ES01
ES01,Spare Parts,C033,Growth,2453706.39,1170633.96,1086285.37,233539.46887059673,0.4770880349706388,0.44271204347313947,852745.9011294034,Nimbus ES01
JP01,Hardware,C060,Growth,7572027.64,2848943.87,2440326.04,848454.9476764438,0.3762458360492726,0.3222817131713481,1591871.092323556,Keystone JP01
JP01,Hardware,C061,Core,9050245.06,3383751.53,2894642.1,1015114.1471997292,0.37388507245570646,0.31984129499361863,1879527.9528002709,Axiom JP01
JP01,Hardware,C062,Growth,7838225.58,3037099.36,2616704.53,879946.3759381697,0.38747281881621987,0.33383889035763115,1736758.1540618301,Northstar JP01
JP01,Hardware,C063,Growth,5418765.4,2049508.63,1758840.47,606724.7457156089,0.37822427780320583,0.32458324732050586,1152115.724284391,Kestrel JP01
JP01,Hardware,C064,Growth,4166904.17,1619503.55,1397256.5,462280.89559145906,0.3886586981432789,0.33532244635229996,934975.604408541,Helix JP01
JP01,Hardware,C065,Growth,3666265.97,1475136.37,1281882.78,403440.58803173463,0.4023538886896414,0.3496426038070555,878442.1919682655,Vector JP01
JP01,Hardware,C066,Growth,6472651.89,2477725.22,2129319.76,727919.1098468547,0.382799084843106,0.32897177172307346,1401400.6501531452,Redwood JP01
JP01,Software,C053,Core,751068.12,600817.15,567323.68,126557.8738163731,0.7999502761480544,0.7553558257804899,440765.80618362693,Atlas JP01
JP01,Software,C054,Core,1164783.92,917139.85,865066.31,196299.80944177444,0.7873905487980981,0.7426839391807539,668766.5005582257,Nimbus JP01
JP01,Software,C055,Strategic,1703284.26,1336306.32,1258815.81,287021.24212421256,0.7845468612502766,0.7390521004403575,971794.5678757875,Summit JP01
JP01,Software,C056,Core,1699165.88,1343673.69,1267169.44,286315.3117579154,0.7907842935264213,0.7457597018132215,980854.1282420845,Cobalt JP01
JP01,Software,C057,Core,1274219.97,1001849.39,944670.15,214700.97232479614,0.7862452430407287,0.7413713269617019,729969.1776752039,Vertex JP01
JP01,Software,C058,Core,1312653.68,1036258.83,977095.36,221230.9110279441,0.7894381022113921,0.744366450105865,755864.4489720559,Nova JP01
JP01,Software,C059,Growth,691179.09,545498.33,514201.3,116478.14950698422,0.7892286353743716,0.7439479976166524,397723.15049301577,Meridian JP01
