month,current,overdue_1_30,overdue_31_60,overdue_61_90,overdue_90_plus,total_ap,overdue_ap,overdue_pct,weighted_age_days,supplier_count,trailing_12m_supplier_count,top5_spend_concentration,single_source_ap,critical_supplier_ap
2023-09,51183255.46000001,0.0,0.0,0.0,0.0,51183255.46000001,0.0,0.0,0.0,80,80,0.7644084672513324,967132.57,50305426.01
2023-10,39690325.400000006,0.0,0.0,0.0,0.0,39690325.400000006,0.0,0.0,13.094284331566604,84,88,0.5721849096554568,3115845.5500000003,37865371.98
2023-11,41953317.72,72126.83000000003,0.0,0.0,0.0,42025444.55,72126.83000000005,0.0017162657235948275,13.945100114354416,85,88,0.5146335219133857,2995882.3000000003,39934601.52
2023-12,44370140.59,82819.02000000002,0.0,0.0,0.0,44452959.61,82819.02,0.0018630710019444756,13.626785161538091,86,89,0.5014129675459109,2679892.660000001,42279251.620000005
2024-01,13383057.140000002,0.0,0.0,0.0,0.0,13383057.140000002,0.0,0.0,10.024165831216054,81,90,0.4702051110922043,2020248.3600000003,11434821.860000001
2024-02,24207661.130000006,102952.54999999983,0.0,0.0,0.0,24310613.680000003,102952.54999999983,0.004234880754355347,10.734906795656014,88,91,0.43103504130980486,1709109.6700000004,22614148.190000005
2024-03,40474064.97,545488.4500000019,0.0,0.0,0.0,41019553.42,545488.4500000019,0.013298254235357833,15.23781460027412,88,91,0.44021232775458735,2557185.2800000003,39159226.53
2024-04,37144491.88,51186.82000000002,0.0,0.0,0.0,37195678.7,51186.820000000036,0.0013761496439638843,13.540179300451912,85,92,0.4274770987666625,1842040.7400000007,35283411.04000001
2024-05,38579821.620000005,68154.64999999998,0.0,0.0,0.0,38647976.27,68154.64999999998,0.0017634726725110352,14.30814183482214,84,92,0.4006031099781018,1890613.8400000005,36799803.720000006
2024-06,40081014.07000001,47321.02000000002,0.0,0.0,0.0,40128335.09,47321.02000000002,0.0011792420466453,13.622008938921072,86,92,0.40936346346237446,2496206.1600000006,38213434.04000001
2024-07,28353029.44000001,0.0,0.0,0.0,0.0,28353029.44000001,0.0,0.0,12.880274553123732,84,92,0.39547051531019384,2752105.7800000007,26446593.760000005
2024-08,23639902.360000003,0.0,0.0,0.0,0.0,23639902.360000003,0.0,0.0,12.778789277537445,88,92,0.3788576512903341,1903000.190000001,21909915.02
2024-09,47941249.78000001,337566.62,0.0,0.0,0.0,48278816.400000006,337566.62,0.00699202352442095,16.65665832271729,88,92,0.3561869325542118,3183856.7800000007,46115517.11000001
2024-10,44677773.68000001,110023.57000000004,0.0,0.0,0.0,44787797.25000001,110023.57,0.002456552381575318,13.495410770620119,85,92,0.34217947066388976,2489346.9100000006,42617426.55000001
2024-11,44176922.88000001,65342.84000000007,0.0,0.0,0.0,44242265.72000001,65342.84000000007,0.0014769324973892871,13.558861722780687,87,92,0.34371660973207474,2597128.4699999997,42081157.61000001
2024-12,47544006.25,95310.40000000026,0.0,0.0,0.0,47639316.650000006,95310.40000000026,0.002000666816869638,13.751297815897626,89,92,0.3593169545495976,2757451.3500000006,45351161.74
