budget_year,budget_vintage,max_source_month,month,entity,division,budget_model,revenue_budget,marginal_contribution_budget,gross_profit_budget,opex_budget,depreciation_budget,ebit_budget,revenue_growth_target,mc_margin_target,gross_margin_target,opex_pct_target,revenue,marginal_contribution,gross_profit,opex,depreciation,ebit,revenue_variance,revenue_variance_pct,marginal_contribution_variance,marginal_contribution_variance_pct,gross_profit_variance,gross_profit_variance_pct,opex_variance,opex_variance_pct,depreciation_variance,depreciation_variance_pct,ebit_variance,ebit_variance_pct
2025,2024-10,2024-10,2025-01,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,-695403.6,0.0,236111.11,-931514.71,0.0,0.0,0.0,0.0,-495627.67,2.4809178463091124,0.0,0.0,0.0,0.0,-495627.67,1.137055302217749
2025,2024-10,2024-10,2025-02,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,-191069.2,0.0,236111.11,-427180.31,0.0,0.0,0.0,0.0,8706.729999999981,-0.043582477628811345,0.0,0.0,0.0,0.0,8706.729999999981,-0.01997473932695953
2025,2024-10,2024-10,2025-03,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,-55627.8,0.0,236111.11,-291738.91,0.0,0.0,0.0,0.0,144148.13,-0.721549037464123,0.0,0.0,0.0,0.0,144148.13,-0.3307006558396414
2025,2024-10,2024-10,2025-04,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,-173370.5,0.0,236111.11,-409481.61,0.0,0.0,0.0,0.0,26405.429999999993,-0.13217523252175573,0.0,0.0,0.0,0.0,26405.429999999993,-0.060578607705335755
2025,2024-10,2024-10,2025-05,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,-112934.15,0.0,236111.11,-349045.26,0.0,0.0,0.0,0.0,86841.78,-0.4346959115645213,0.0,0.0,0.0,0.0,86841.77999999997,-0.19923001151858052
2025,2024-10,2024-10,2025-06,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,-86810.44,0.0,236111.11,-322921.55,0.0,0.0,0.0,0.0,112965.48999999999,-0.5654609641912316,0.0,0.0,0.0,0.0,112965.48999999999,-0.25916230498617254
2025,2024-10,2024-10,2025-07,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,-348535.48,0.0,236111.11,-584646.59,0.0,0.0,0.0,0.0,-148759.55,0.744631998459474,0.0,0.0,0.0,0.0,-148759.55,0.34128004815192486
2025,2024-10,2024-10,2025-08,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,-453569.12,0.0,236111.11,-689680.23,0.0,0.0,0.0,0.0,-253793.19,1.2703892305744742,0.0,0.0,0.0,0.0,-253793.19,0.5822453220907876
2025,2024-10,2024-10,2025-09,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,269073.46,0.0,236111.11,32962.350000000035,0.0,0.0,0.0,0.0,468849.39,-2.346876272832268,0.0,0.0,0.0,0.0,468849.39,-1.075621312347346
2025,2024-10,2024-10,2025-10,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,-44534.03,0.0,236111.11,-280645.14,0.0,0.0,0.0,0.0,155241.9,-0.7770801016919305,0.0,0.0,0.0,0.0,155241.89999999997,-0.3561516763609213
2025,2024-10,2024-10,2025-11,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,53579.45,0.0,236111.11,-182531.66,0.0,0.0,0.0,0.0,253355.38,-1.2681977253215642,0.0,0.0,0.0,0.0,253355.37999999998,-0.5812409104891029
2025,2024-10,2024-10,2025-12,CN01,Hardware,Cost center run-rate,0.0,0.0,-199775.93,0.0,236111.11,-435887.04,0.0,0.0,0.0,0.0,0.0,0.0,123111.44,0.0,236111.11,-112999.66999999998,0.0,0.0,0.0,0.0,322887.37,-1.6162476130132395,0.0,0.0,0.0,0.0,322887.37,-0.7407592802025038
2025,2024-10,2024-10,2025-01,CZ01,Hardware,Cost center run-rate,0.0,0.0,2063.21,0.0,236111.11,-234047.9,0.0,0.0,0.0,0.0,0.0,0.0,-541097.43,0.0,236111.11,-777208.54,0.0,0.0,0.0,0.0,-543160.64,-263.25998807683175,0.0,0.0,0.0,0.0,-543160.64,2.32072426199936
2025,2024-10,2024-10,2025-02,CZ01,Hardware,Cost center run-rate,0.0,0.0,2063.21,0.0,236111.11,-234047.9,0.0,0.0,0.0,0.0,0.0,0.0,79328.66,0.0,236111.11,-156782.44999999998,0.0,0.0,0.0,0.0,77265.45,37.449144779251746,0.0,0.0,0.0,0.0,77265.45000000001,-0.33012665356108734
2025,2024-10,2024-10,2025-03,CZ01,Hardware,Cost center run-rate,0.0,0.0,2063.21,0.0,236111.11,-234047.9,0.0,0.0,0.0,0.0,0.0,0.0,162105.61,0.0,236111.11,-74005.5,0.0,0.0,0.0,0.0,160042.4,77.569612400095,0.0,0.0,0.0,0.0,160042.4,-0.6838019055073769
