month,ebit,depreciation,ebitda,interest_expense,cash,gross_debt,ebitda_ttm,interest_ttm,net_debt,net_leverage,interest_coverage,minimum_operating_cash,rcf_limit,rcf_drawn,undrawn_rcf,liquidity_headroom,net_leverage_limit,interest_coverage_min,net_leverage_headroom,interest_coverage_headroom,covenant_status
2023-09,7471824.170000001,722222.22,8194046.390000001,157500.0,50737034.56,41475000.0,8194046.390000001,157500.0,-9262034.560000002,-1.130337091001019,52.02569136507937,36000000.0,35000000.0,0.0,35000000.0,49737034.56,2.5,4.0,3.630337091001019,48.02569136507937,PASS
2023-10,5999654.47,722222.22,6721876.6899999995,155531.25,22450557.630000003,41475000.0,14915923.08,313031.25,19024442.369999997,1.2754451915556537,47.649948942797245,36000000.0,35000000.0,0.0,35000000.0,35000000.0,2.5,4.0,1.2245548084443463,43.649948942797245,PASS
2023-11,6560331.74,722222.22,7282553.96,155531.25,29345431.010000005,41475000.0,22198477.04,468562.5,12129568.989999995,0.5464144665484671,47.37570129918634,36000000.0,35000000.0,0.0,35000000.0,35000000.0,2.5,4.0,1.9535855334515329,43.37570129918634,PASS
2023-12,7261920.36,722222.22,7984142.58,155531.25,32542030.460000005,40956562.5,30182619.62,624093.75,8414532.039999995,0.2787873334368979,48.36231675128937,36000000.0,35000000.0,0.0,35000000.0,35000000.0,2.5,4.0,2.221212666563102,44.36231675128937,PASS
2024-01,3646951.56,722222.22,4369173.78,153587.1,30620610.520000003,40956562.5,34551793.4,777680.85,10335951.979999997,0.2991437191216823,44.429271210677236,36000000.0,35000000.0,0.0,35000000.0,35000000.0,2.5,4.0,2.200856280878318,40.429271210677236,PASS
2024-02,4111854.8800000004,722222.22,4834077.100000001,153587.1,46358528.650000006,40956562.5,39385870.5,931267.95,-5401966.150000006,-0.13715492590166328,42.29273701516304,36000000.0,35000000.0,0.0,35000000.0,45358528.650000006,2.5,4.0,2.637154925901663,38.29273701516304,PASS
2024-03,5587138.95,722222.22,6309361.17,153587.1,55430215.080000006,40444605.47,45695231.67,1084855.05,-14985609.610000007,-0.32794690085439293,42.12104803309899,36000000.0,35000000.0,0.0,35000000.0,54430215.080000006,2.5,4.0,2.8279469008543927,38.12104803309899,PASS
2024-04,5237041.67,722222.22,5959263.89,151667.27000000002,57633583.080000006,40444605.47,51654495.56,1236522.32,-17188977.610000007,-0.3327682793849745,41.77400983752562,36000000.0,35000000.0,0.0,35000000.0,56633583.080000006,2.5,4.0,2.8327682793849744,37.77400983752562,PASS
2024-05,4958160.609999999,722222.22,5680382.829999999,151667.27000000002,61489975.730000004,40444605.47,57334878.39,1388189.59,-21045370.260000005,-0.36706051972145826,41.30190775310453,36000000.0,35000000.0,0.0,35000000.0,60489975.730000004,2.5,4.0,2.8670605197214583,37.30190775310453,PASS
2024-06,6007935.04,722222.22,6730157.26,143241.29,63041416.75000001,39939047.9,64065035.65,1531430.8800000001,-23102368.85000001,-0.36060806984035465,41.833449022524604,36000000.0,35000000.0,0.0,35000000.0,62041416.75000001,2.5,4.0,2.860608069840355,37.833449022524604,PASS
